center_id,district,crop,farmers_arrived,farmers_processed,queue_length,number_of_counters,average_processing_time,arrival_rate,hour,day_of_week,is_weekend,is_holiday,waiting_time
C001,Karnal,Wheat,46,26,20,3,6.0,5.64,11,4,0,0,52.3
C004,Sehore,Maize,29,24,5,5,6.0,2.36,9,0,1,0,8.1
C002,Ludhiana,Maize,52,40,12,3,8.0,3.28,16,3,0,0,32.4
C004,Sehore,Maize,88,47,41,3,5.0,5.46,8,5,0,0,72.0
C005,Nashik,Soybean,32,18,14,5,4.0,4.23,9,4,0,0,14.4
C002,Ludhiana,Mustard,42,12,30,4,5.0,4.1,15,4,0,0,40.4
C004,Sehore,Gram,35,27,8,5,8.0,4.82,15,4,0,0,14.5
C003,Indore,Gram,57,13,44,6,4.0,4.51,11,2,0,0,41.4
C002,Ludhiana,Gram,52,13,39,5,7.0,6.6,14,1,0,0,73.1
C002,Ludhiana,Gram,32,13,19,3,7.0,3.5,15,4,0,0,46.0
C001,Karnal,Soybean,65,40,25,3,5.0,6.04,15,3,0,0,44.3
C004,Sehore,Soybean,43,6,37,3,4.0,8.37,11,2,0,1,52.7
C003,Indore,Paddy,72,40,32,5,8.0,6.09,17,0,1,0,62.9
C003,Indore,Gram,53,18,35,2,7.0,9.92,9,5,0,0,127.7
C003,Indore,Wheat,33,10,23,5,6.0,5.51,9,6,1,0,33.3
C005,Nashik,Maize,73,32,41,4,8.0,3.33,10,6,1,0,98.0
C001,Karnal,Gram,61,43,18,4,8.0,6.31,13,5,0,0,47.5
C005,Nashik,Maize,35,8,27,2,5.0,9.94,18,1,0,0,69.3
C002,Ludhiana,Maize,74,30,44,4,5.0,5.92,17,5,0,0,59.9
C004,Sehore,Wheat,55,22,33,2,7.0,7.56,13,3,0,0,147.6
C001,Karnal,Maize,88,47,41,2,7.0,7.58,9,6,1,0,168.8
C004,Sehore,Paddy,44,23,21,5,6.0,4.7,17,1,0,0,27.7
C003,Indore,Maize,52,45,7,2,4.0,8.27,15,0,1,0,18.4
C004,Sehore,Soybean,62,49,13,2,7.0,9.28,18,2,0,0,48.8
C003,Indore,Wheat,34,28,6,4,6.0,7.32,18,1,0,0,10.2
C002,Ludhiana,Soybean,19,18,1,2,4.0,5.81,10,4,0,0,2.8
C001,Karnal,Wheat,77,49,28,4,4.0,3.06,9,1,0,0,32.3
C001,Karnal,Wheat,33,13,20,4,6.0,5.06,10,5,0,0,31.0
C005,Nashik,Gram,57,15,42,2,8.0,5.52,11,5,0,0,216.7
C005,Nashik,Maize,17,11,6,5,5.0,3.12,9,4,0,0,6.1
C004,Sehore,Mustard,64,46,18,3,5.0,2.67,16,4,0,0,32.6
C001,Karnal,Maize,77,43,34,4,5.0,6.08,14,2,0,0,58.3
C002,Ludhiana,Soybean,52,36,16,5,4.0,7.1,9,4,0,0,12.8
C003,Indore,Mustard,68,31,37,3,7.0,4.92,18,1,0,0,92.6
C001,Karnal,Wheat,22,21,1,6,4.0,3.73,8,6,1,0,1
C005,Nashik,Soybean,51,45,6,5,7.0,6.29,17,1,0,0,8.4
C005,Nashik,Paddy,51,30,21,3,8.0,6.69,18,5,0,0,57.8
C004,Sehore,Maize,26,10,16,3,4.0,9.4,9,3,0,0,21.5
C002,Ludhiana,Wheat,50,5,45,2,5.0,3.31,13,4,0,0,147.3
C003,Indore,Paddy,30,12,18,4,5.0,8.17,8,2,0,0,23.7
C001,Karnal,Mustard,66,34,32,6,4.0,6.09,8,3,0,0,23.8
C002,Ludhiana,Mustard,56,12,44,2,8.0,3.83,16,0,1,0,209.1
C002,Ludhiana,Wheat,39,14,25,5,6.0,3.43,8,4,0,0,33.9
C004,Sehore,Paddy,52,25,27,4,5.0,4.17,9,4,0,0,37.0
C001,Karnal,Paddy,33,30,3,3,8.0,2.55,15,6,1,0,10.9
C003,Indore,Wheat,29,28,1,6,7.0,3.61,17,6,1,0,2.0
C004,Sehore,Mustard,52,39,13,6,7.0,8.08,11,1,0,1,16.4
C002,Ludhiana,Gram,27,5,22,4,4.0,8.07,14,6,1,0,33.5
C002,Ludhiana,Gram,40,8,32,3,7.0,9.78,10,5,0,0,76.7
C002,Ludhiana,Gram,40,10,30,5,6.0,6.65,16,1,0,0,39.2
C005,Nashik,Gram,56,13,43,2,7.0,3.89,12,6,1,0,222.7
C003,Indore,Mustard,24,9,15,5,6.0,9.55,10,6,1,0,20.9
C001,Karnal,Paddy,52,31,21,5,7.0,2.97,13,6,1,0,44.0
C003,Indore,Wheat,68,24,44,2,5.0,8.61,17,0,1,0,133.2
C002,Ludhiana,Wheat,63,37,26,3,6.0,2.39,12,2,0,0,66.8
C004,Sehore,Soybean,27,11,16,6,8.0,5.7,10,0,1,0,27.8
C002,Ludhiana,Paddy,72,48,24,3,7.0,7.04,18,0,1,0,66.3
C001,Karnal,Wheat,75,33,42,2,5.0,8.47,9,6,1,0,125.1
C001,Karnal,Soybean,69,32,37,2,5.0,8.57,14,3,0,1,97.7
C002,Ludhiana,Mustard,40,22,18,3,5.0,5.57,10,0,1,0,37.1
C003,Indore,Soybean,39,8,31,5,8.0,2.7,14,1,0,0,66.3
C005,Nashik,Paddy,75,50,25,6,4.0,4.87,16,6,1,0,23.8
C005,Nashik,Mustard,18,6,12,5,6.0,4.55,11,0,1,0,23.3
C001,Karnal,Soybean,57,19,38,6,6.0,9.79,9,1,0,0,41.6
C001,Karnal,Paddy,39,16,23,6,7.0,3.41,17,2,0,0,30.4
C005,Nashik,Wheat,51,14,37,4,8.0,6.5,11,6,1,0,112.3
C004,Sehore,Gram,39,7,32,4,5.0,2.72,11,4,0,0,53.9
C001,Karnal,Mustard,35,26,9,6,5.0,7.74,13,0,1,0,12.2
C002,Ludhiana,Wheat,33,28,5,6,6.0,7.64,18,3,0,0,4.9
C003,Indore,Paddy,77,36,41,3,7.0,7.19,10,5,0,0,101.4
